#Source_name;Variability_index;ASSOC1;ASSOC2;ASSOC_TEV;CLASS1;Flags
3FGL J0000.1+6545;40.7535;;;;;4
3FGL J0000.2-3738;44.8453;;;;;0
3FGL J0001.0+6314;53.0479;;;;spp;28
3FGL J0001.2-0748;49.7382;PMN J0001-0746;;;bll;0
3FGL J0001.4+2120;130.336;TXS 2358+209;;;fsrq;0
3FGL J0001.6+3535;32.3943;;;;;8
3FGL J0002.0-6722;46.125;;;;;0
3FGL J0002.2-4152;56.3511;1RXS J000135.5-415519;;;bcu;0
3FGL J0002.6+6218;48.0235;;;;;0
3FGL J0003.2-5246;45.2804;RBS 0006;;;bcu;0
3FGL J0003.4+3100;38.536;;;;;0
3FGL J0003.5+5721;31.1214;;;;;0
3FGL J0003.8-1151;48.4916;PMN J0004-1148;;;bcu;0
3FGL J0004.2+6757;34.8146;;;;;25
3FGL J0004.2+0843;45.3317;;;;;0
3FGL J0004.7-4740;112.933;PKS 0002-478;;;fsrq;0
3FGL J0006.2+0135;45.5663;;;;;0
3FGL J0006.4+3825;80.4625;S4 0003+38;;;fsrq;0
3FGL J0006.6+4618;48.8199;;;;;0
3FGL J0007.0+7302;46.1686;LAT PSR J0007+7303;;CTA 1;PSR;0
3FGL J0007.4+1742;46.5711;;;;;0
3FGL J0007.9+4006;44.3896;;;;;0
3FGL J0008.0+4713;36.7135;MG4 J000800+4712;;;bll;0
3FGL J0008.3+1456;34.4397;;;;;0
3FGL J0008.5+6853;35.0343;;;;;261
3FGL J0008.6-2340;47.349;RBS 0016;;;bll;0
3FGL J0008.7+6558;42.767;;;;;2056
3FGL J0009.1+0630;61.3575;CRATES J000903.95+062821.5;;;bll;0
3FGL J0009.3+5030;99.4369;NVSS J000922+503028;;;bll;0
3FGL J0009.6-3211;42.5336;IC 1531;;;bcu;1
3FGL J0010.5-1425;56.522;;;;;0
3FGL J0012.4+7040;51.5759;TXS 0008+704;;;bcu;8
3FGL J0013.2-3954;55.2281;PKS 0010-401;;;bll;0
3FGL J0013.9-1853;36.4588;RBS 0030;;SHBL J001355.9-185406;bll;0
